% siteAbb	pixelLat	pixelLon
mfle	39.947640	254.805561
p038	34.147255	256.592662
p037	38.421754	254.895317
p036	36.420275	254.706347
ctdm	34.516549	241.386791
hunt	35.880811	239.597617
p255	37.581885	238.675148
p591	35.152424	241.983526
p538	35.534168	239.887516
p537	35.316795	240.064661
p536	35.279767	239.974981
masw	35.832596	239.556942
p040	38.071499	257.313021
p043	43.881146	255.814298
p042	42.051506	255.089406
p032	41.741673	252.744077
p070	36.044780	255.302010
p035	34.601393	254.816398
p011	36.149828	250.480773
p012	38.097433	250.666165
